,store,address,latitude,longitude,isReserve,review
116,스타벅스 서울대입구역점,서울특별시 관악구 남부순환로 1812 (봉천동),37.48118,126.951324,general,678.0
117,스타벅스 건국대점,서울특별시 광진구 능동로 117 (화양동),37.5415592,127.0711244,general,255.0
118,스타벅스 어린이대공원역점,서울특별시 광진구 능동로243 ,37.551946,127.076404,general,501.0
119,스타벅스 아차산역점,서울특별시 광진구 천호대로 676 ,37.5505388,127.0898757,general,585.0
120,스타벅스 올림픽대교북단점,서울특별시 광진구 광나루로 608 (구의동),37.541129,127.09524,general,306.0
121,스타벅스 구의DT점,서울특별시 광진구 광나루로 519 (구의동),37.5451984,127.0871587,general,498.0
122,스타벅스 자양사거리점,서울특별시 광진구 아차산로 355,37.5371158,127.0825821,general,372.0
123,스타벅스 군자역점,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.556965,127.079032,general,772.0
124,스타벅스 광나루점,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.547442,127.105934,general,317.0
125,스타벅스 건대스타시티점,서울특별시 광진구 아차산로 262 (자양동),37.538544,127.073009,general,576.0
126,스타벅스 자양점,서울특별시 광진구 능동로 50 (자양동),37.5354769,127.06914619999998,general,375.0
127,스타벅스 강변역점,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,37.536155,127.093086,general,414.0
128,스타벅스 건대입구점,서울특별시 광진구 능동로 107 (화양동),37.5406604,127.0707225,general,554.0
129,스타벅스 구의역점,서울특별시 광진구 아차산로 373 (구의동),37.53698,127.084015,general,487.0
130,스타벅스 광장점,서울특별시 광진구 아차산로 537-17 (광장동),37.542518,127.099651,general,
131,스타벅스 건국클래식점,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,37.538466,127.071271,general,377.0
132,스타벅스 자양이마트점,서울시 광진구 아차산로 272 스타시티 지하1층 일부,37.537817,127.072597,general,152.0
133,스타벅스 금천구청역점,"서울특별시 금천구 시흥대로73길 67 엠타워 112,113,114,115호",37.455983,126.895727,general,187.0
134,스타벅스 가산에스케이점,서울특별시 금천구 가산디지털1로 171 (가산동),37.48061318,126.8805702,general,437.0
135,스타벅스 독산사거리점,서울특별시 금천구 시흥대로 426 (독산동),37.471511,126.898775,general,291.0
136,스타벅스 금천시흥점,서울특별시 금천구 시흥대로 164 (시흥동),37.448624,126.903183,general,355.0
137,스타벅스 가산디지털단지역점,서울특별시 금천구 벚꽃로 298 (가산동),37.481324,126.883779,general,377.0
138,스타벅스 금천독산점,서울특별시 금천구 두산로 70 (독산동),37.46914,126.895246,general,468.0
139,스타벅스 가산디지털점,서울특별시 금천구 가산디지털1로 168 (가산동),37.4798346,126.88249969999993,general,468.0
140,스타벅스 W-Mall점,서울특별시 금천구 디지털로 188 (가산동),37.47730499,126.8876908,general,428.0
141,스타벅스 마리오아울렛점,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.478701,126.885076,general,472.0
142,스타벅스 가산브이타워점,서울특별시 금천구 가산디지털1로 128 (가산동),37.477221,126.883683,general,318.0
143,스타벅스 가산그레이트점,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.88747680000006,general,338.0
144,스타벅스 월계역점,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",37.6295,127.0574,general,193.0
145,스타벅스 월계트레이더스점,서울특별시 노원구 마들로3길 15 ,37.6277053,127.06149779999998,general,599.0
146,스타벅스 상계초교사거리점,서울특별시 노원구 노원로 449 ,37.656776,127.066442,general,518.0
147,스타벅스 공릉DT점,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116,general,790.0
148,스타벅스 노원마들역점,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.660941,127.058008,general,653.0
149,스타벅스 공릉역점,서울특별시 노원구 동일로 1081 (공릉동),37.626337,127.072252,general,574.0
150,스타벅스 은행사거리점,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.65048737,127.0759861,general,468.0
151,스타벅스 노원KT점,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654562,127.063617,general,653.0
152,스타벅스 광운대점,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.06070090000004,general,357.0
153,스타벅스 중계역점,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.64817,127.062244,general,645.0
154,스타벅스 노원역점,서울특별시 노원구 동일로 1413 (상계동) 1층,37.654751,127.060034,general,
155,스타벅스 월계이마트점,서울특별시 노원구 마들로3길 15 (월계동),37.627155,127.062094,general,585.0
156,스타벅스 창동이마트점,서울특별시 도봉구 노해로65길 4 (창동),37.651645,127.046869,general,440.0
157,스타벅스 쌍문역점,서울특별시 도봉구 도봉로 480 (창동),37.648456,127.034783,general,668.0
158,스타벅스 노량진동점,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",37.513068,126.946537,general,330.0
159,스타벅스 남성역점,서울특별시 동작구 사당로 219 (사당동),37.4841198,126.9725739,general,424.0
160,스타벅스 상도역점,서울특별시 동작구 상도로37길 1 (상도1동),37.5031936,126.9484581,general,295.0
161,스타벅스 보라매공원R점,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.49226212712864,126.92334570798292,reserve,768.0
162,스타벅스 이수자이점,서울특별시 동작구 사당로 300 (사당동 이수자이),37.484414,126.980047,general,478.0
163,스타벅스 노량진역점,서울특별시 동작구 노량진로 134 (노량진동),37.51339,126.940879,general,770.0
164,스타벅스 신대방삼거리역점,서울특별시 동작구 상도로 102 (상도동),37.499914,126.931766,general,684.0
165,스타벅스 중앙대점,서울특별시 동작구 흑석로 75-1 (흑석동),37.506933,126.958125,general,353.0
166,스타벅스 숭실대입구역점,서울특별시 동작구 상도로 354 (상도동),37.4968346,126.95271230000004,general,449.0
167,스타벅스 숭실대점,서울특별시 동작구 사당로 4 (상도동),37.49538073,126.9548891,general,272.0
168,스타벅스 사당역점,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",37.47849216,126.9813456,general,719.0
169,스타벅스 서강대프라자점,서울특별시 마포구 백범로 35 (신수동),37.551073,126.943096,general,66.0
170,스타벅스 상암YTN점,서울특별시 마포구 상암산로 76 (상암동),37.579183,126.892315,general,505.0
171,스타벅스 마포용강동점,서울특별시 마포구 토정로 295 (용강동),37.541186,126.942209,general,203.0
172,스타벅스 홍대입구역사거리R점,서울특별시 마포구 양화로 125 (서교동),37.554636,126.92036,reserve,519.0
173,스타벅스 마포경찰서후문점,서울특별시 마포구 마포대로 173-14 (아현동),37.5508,126.953432,general,239.0
174,스타벅스 공덕점,서울특별시 마포구 마포대로 130 (공덕동),37.545913,126.952956,general,399.0
175,스타벅스 합정폴리스R점,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.5509,126.9134,reserve,384.0
176,스타벅스 홍대공항철도역점,서울특별시 마포구 양화로 178 (동교동),37.557491,126.925146,general,784.0
177,스타벅스 마포염리점,서울특별시 마포구 독막로 311 (염리동),37.543876,126.94768,general,482.0
178,스타벅스 서강광흥창역점,서울특별시 마포구 서강로 69 (창전동),37.549377,126.931661,general,252.0
179,스타벅스 합정점,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",37.54963,126.912999,general,678.0
180,스타벅스 서강대흥역점,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576,general,409.0
181,스타벅스 서교동사거리점,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564,general,358.0
182,스타벅스 상암사보이시티점,서울특별시 마포구 월드컵북로54길 17 (상암동),37.58147,126.888983,general,427.0
183,스타벅스 신촌오거리점,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694,general,410.0
184,스타벅스 상암디지털큐브점,서울특별시 마포구 상암산로 34,37.5763132,126.8892477,general,326.0
185,스타벅스 상수역점,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.92321579999998,general,358.0
186,스타벅스 공덕오거리점,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.95057730000008,general,302.0
187,스타벅스 서교점,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,37.551385,126.9169208,general,458.0
188,스타벅스 서강대점,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262,general,222.0
189,스타벅스 상암MBC점,서울특별시 마포구 성암로 267 (상암동),37.581297,126.890908,general,333.0
190,스타벅스 홍대역점,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654,general,
191,스타벅스 동교점,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819,general,474.0
